Linux 6.11.0-14-generic (osboxes) 	02/20/2025 	_x86_64_	(4 CPU)
11:43:09 PM     0      5823      3.96      0.00  kworker/0:1-events_freezable
11:43:09 PM     0      6142     87.13      0.00  kworker/u513:3-events_unbound
11:43:09 PM     0      6491     12.87      0.00  kworker/3:3-mm_percpu_wq
11:43:09 PM     0      6544      6.93      3.96  kworker/u516:3-events_unbound
11:43:09 PM     0      6590     40.59     38.61  kworker/u516:2-events_unbound
11:43:09 PM     0      6677      2.97      0.00  kworker/1:0-mm_percpu_wq
11:43:09 PM     0      6700      2.97      0.00  kworker/2:0-events
11:43:09 PM     0      6792      0.99      0.00  kworker/u514:3-events_freezable_pwr_efficient
11:43:09 PM  1000      7136      0.99      1.98  pidstat
11:43:09 PM  1000      7137      0.99     87.13  tee
11:43:09 PM     0      7165     77.23      8.91  apt-check

11:43:09 PM   UID       PID   cswch/s nvcswch/s  Command
11:43:10 PM     0        16      1.00      0.00  ksoftirqd/0
11:43:10 PM     0        17     29.00      0.00  rcu_preempt
11:43:10 PM     0        26      1.00      0.00  ksoftirqd/1
11:43:10 PM     0        53      2.00      0.00  kcompactd0
11:43:10 PM     0       476     24.00      0.00  irq/16-vmwgfx
11:43:10 PM   990      1162      1.00      0.00  systemd-oomd
11:43:10 PM     0      1169     12.00      0.00  vmtoolsd
11:43:10 PM  1000      2519      1.00      0.00  dbus-daemon
11:43:10 PM  1000      2804    146.00     42.00  gnome-shell
11:43:10 PM  1000      2901     77.00      2.00  ibus-daemon
11:43:10 PM  1000      3035     10.00      0.00  vmtoolsd
11:43:10 PM  1000      3123     20.00      7.00  ibus-extension-
11:43:10 PM  1000      3246     15.00      0.00  ibus-engine-sim
11:43:10 PM  1000      3335      2.00      0.00  Xwayland
11:43:10 PM  1000      3928     39.00      1.00  gnome-terminal-
11:43:10 PM     0      5313      1.00      0.00  kworker/0:1H-kblockd
11:43:10 PM     0      5823     10.00      0.00  kworker/0:1-events
11:43:10 PM     0      6142      1.00      0.00  kworker/u513:3-flush-8:0
11:43:10 PM     0      6266      2.00      0.00  kworker/u513:0-flush-8:0
11:43:10 PM     0      6491      2.00      0.00  kworker/3:3-events
11:43:10 PM     0      6544      1.00      0.00  kworker/u516:3-events_unbound
11:43:10 PM     0      6590     49.00     55.00  kworker/u516:2-events_unbound
11:43:10 PM     0      6700      2.00      0.00  kworker/2:0-events
11:43:10 PM     0      6801      1.00      0.00  kworker/u515:1-events_unbound
11:43:10 PM  1000      7136      1.00      2.00  pidstat
11:43:10 PM  1000      7137      1.00      0.00  tee
11:43:10 PM     0      7165     30.00     13.00  apt-check

11:43:10 PM   UID       PID   cswch/s nvcswch/s  Command
11:43:11 PM     0        16      1.00      0.00  ksoftirqd/0
11:43:11 PM     0        17      8.00      0.00  rcu_preempt
11:43:11 PM     0        53      2.00      0.00  kcompactd0
11:43:11 PM     0       476      6.00      0.00  irq/16-vmwgfx
11:43:11 PM   990      1162      1.00      0.00  systemd-oomd
11:43:11 PM     0      1169     11.00      0.00  vmtoolsd
11:43:11 PM  1000      2519      1.00      0.00  dbus-daemon
11:43:11 PM  1000      2804     65.00      5.00  gnome-shell
11:43:11 PM  1000      2901     94.00      4.00  ibus-daemon
11:43:11 PM  1000      3035     11.00      0.00  vmtoolsd
11:43:11 PM  1000      3123      6.00      0.00  ibus-extension-
11:43:11 PM  1000      3246     23.00      9.00  ibus-engine-sim
11:43:11 PM  1000      3335      1.00      0.00  Xwayland
11:43:11 PM  1000      3928     31.00     11.00  gnome-terminal-
11:43:11 PM     0      5823      6.00      0.00  kworker/0:1-events
11:43:11 PM     0      6266      2.00      0.00  kworker/u513:0-events_freezable_pwr_efficient
